epoch,train_loss,eval_loss,rouge1,rouge2,rougeLsum,learning_rate,gpu_usage,cpu_usage
1,1.0562642419609156,1.0124015615099953,,,,9.51080773606371e-05,94.23828125,7.6
2,0.9736149888011543,1.0040632304691133,,,,9.01023890784983e-05,94.23828125,7.6
3,0.9676473558355462,1.0013629141308011,,,,8.509670079635951e-05,94.23828125,7.6
4,0.9644669583168897,0.9998246221315293,,,,8.009101251422071e-05,94.23828125,8.9
5,0.9621251346441833,1.0032795761312758,0.055605448238557766,0.03058253757316599,0.03058253757316599,7.508532423208191e-05,94.23828125,8.3
6,0.9604374861039898,1.0052547420774187,,,,7.007963594994313e-05,94.23828125,7.6
7,0.9583204761282964,1.0027429367814744,,,,6.507394766780433e-05,94.23828125,7.6
8,0.9572733143107458,1.0007091391654241,,,,6.0068259385665536e-05,94.23828125,7.6
9,0.9563934453102675,1.0015336618536994,,,,5.5062571103526736e-05,94.23828125,7.6
10,0.9553587509962645,1.0017818473634266,0.05607112231287854,0.03079570185155784,0.03079570185155784,5.005688282138794e-05,94.23828125,7.6
11,0.9541712523658167,1.00309853213174,,,,4.505119453924915e-05,94.23828125,7.7
12,0.9531938803602349,1.0037065012114388,,,,4.004550625711036e-05,94.23828125,8.1
13,0.952259247140451,1.007167616912297,,,,3.5039817974971564e-05,94.23828125,7.6
14,0.9518324989215894,1.0031508536565872,,,,3.0034129692832768e-05,94.23828125,7.6
15,0.9504394150051204,1.005051653158097,,,,2.502844141069397e-05,94.23828125,7.6
16,0.9498219336840239,1.005229337442489,,,,2.002275312855518e-05,94.23828125,7.6
17,0.9490139332549139,1.0073469377699353,,,,1.5017064846416384e-05,94.23828125,7.6
18,0.9479262999919328,1.0065213274388087,,,,1.001137656427759e-05,94.23828125,7.7
19,0.9471053353358398,1.0083570784046536,,,,5.005688282138795e-06,94.23828125,7.7
20,0.9460532013801011,1.00838294057619,,,,0.0,94.23828125,7.7
